,Unnamed: 0,Flag,English Names [1][2][3][4],Capital [3][5][6],Population 2021 [7][8],Area[a][b] [9],Currency [3],Map,Country
0,1,,Algeria,Algiers,44177969,"2,381,740 km2 (919,595 sq mi)",Algerian dinar,,Algeria
1,2,,Angola,Luanda,34503774,"1,246,700 km2 (481,354 sq mi)",kwanza,,Angola
2,3,,Benin,Porto-Novo,12996895,"112,622 km2 (43,484 sq mi)",CFA franc,,Benin
3,4,,Botswana,Gaborone,2588423,"581,726 km2 (224,606 sq mi)",pula,,Botswana
4,5,,Burkina Faso,Ouagadougou,22100683,"274,000 km2 (105,792 sq mi)",CFA franc,,Burkina Faso
5,6,,Burundi,Gitega,12551213,"27,830 km2 (10,745 sq mi)",Burundi franc,,Burundi
6,7,,Cameroon,Yaoundé,27198628,"475,442 km2 (183,569 sq mi)",CFA franc,,Cameroon
7,8,,Cape Verde,Praia,587925,"4,033 km2 (1,557 sq mi)",Cape Verdean escudo,,Cape Verde
8,9,,Central African Republic,Bangui,5457154,"622,984 km2 (240,535 sq mi)",CFA franc,,Central African Republic
9,10,,Chad,N'Djamena,17179740,"1,284,000 km2 (495,755 sq mi)",CFA franc,,Chad
10,11,,Comoros,Moroni,821625,"2,235 km2 (863 sq mi)",Comorian franc,,Comoros
11,12,,Democratic Congo[n 1],Kinshasa,95894118,"2,344,858 km2 (905,355 sq mi)",Congolese franc,,Democratic Congo
12,13,,Congo[n 2],Brazzaville,5835806,"342,000 km2 (132,047 sq mi)",CFA franc,,Congo
13,14,,Djibouti,Djibouti,1105557,"23,200 km2 (8,958 sq mi)",Djibouti franc,,Djibouti
14,15,,Egypt,Cairo,109262178,"1,001,449 km2 (386,662 sq mi)",Egyptian pound,,Egypt
15,16,,Equatorial Guinea,Malabo[n 3],1634466,"28,051 km2 (10,831 sq mi)",CFA franc,,Equatorial Guinea
16,17,,Eritrea,Asmara,3620312,"117,600 km2 (45,406 sq mi)",nakfa,,Eritrea
17,18,,Eswatini,Lobamba,1192271,"17,364 km2 (6,704 sq mi)",lilangeni,,Eswatini
18,19,,Ethiopia,Addis Ababa,120283026,"1,104,300 km2 (426,373 sq mi)",Ethiopian birr,,Ethiopia
19,20,,Gabon,Libreville,2341179,"267,668 km2 (103,347 sq mi)",CFA franc,,Gabon
20,21,,Gambia,Banjul,2639916,"10,380 km2 (4,008 sq mi)",dalasi,,Gambia
21,22,,Ghana,Accra,32833031,"238,534 km2 (92,098 sq mi)",Ghana cedi,,Ghana
22,23,,Guinea[n 4],Conakry,13531906,"245,857 km2 (94,926 sq mi)",Guinean franc,,Guinea
23,24,,Guinea-Bissau,Bissau,2060721,"36,125 km2 (13,948 sq mi)",CFA franc,,Guinea-Bissau
24,25,,Côte d'Ivoire,Yamoussoukro,27478249,"322,460 km2 (124,503 sq mi)",CFA franc,,Côte d'Ivoire
25,26,,Kenya,Nairobi,53005614,"580,367 km2 (224,081 sq mi)",Kenyan shilling,,Kenya
26,27,,Lesotho,Maseru,2281454,"30,355 km2 (11,720 sq mi)",loti,,Lesotho
27,28,,Liberia,Monrovia,5193416,"111,369 km2 (43,000 sq mi)",Liberian dollar,,Liberia
28,29,,Libya,Tripoli,6735277,"1,759,540 km2 (679,362 sq mi)",Libyan dinar,,Libya
29,30,,Madagascar,Antananarivo,28915653,"587,041 km2 (226,658 sq mi)",ariary,,Madagascar
30,31,,Malawi,Lilongwe,19889742,"118,484 km2 (45,747 sq mi)",Malawian kwacha,,Malawi
31,32,,Mali,Bamako,21904983,"1,240,192 km2 (478,841 sq mi)",CFA franc,,Mali
32,33,,Mauritania,Nouakchott,4614974,"1,030,700 km2 (397,955 sq mi)",ouguiya,,Mauritania
33,34,,Mauritius,Port Louis,1298915,"2,040 km2 (788 sq mi)",Mauritian rupee,,Mauritius
34,35,,Morocco,Rabat,37076584,"710,850 km2 (274,461 sq mi)",Moroccan dirham,,Morocco
35,36,,Mozambique,Maputo,32077072,"801,590 km2 (309,496 sq mi)",metical,,Mozambique
36,37,,Namibia,Windhoek,2530151,"825,418 km2 (318,696 sq mi)",Namibian dollar,,Namibia
37,38,,Niger,Niamey,25252722,"1,267,000 km2 (489,191 sq mi)",CFA franc,,Niger
38,39,,Nigeria,Abuja,213401323,"923,768 km2 (356,669 sq mi)",naira,,Nigeria
39,40,,Rwanda,Kigali,13461888,"26,798 km2 (10,347 sq mi)",Rwandese franc,,Rwanda
40,41,,São Tomé and Príncipe,São Tomé,223107,964 km2 (372 sq mi),Dobra,,São Tomé and Príncipe
41,42,,Senegal,Dakar,16876720,"196,723 km2 (75,955 sq mi)",CFA franc,,Senegal
42,43,,Seychelles,Victoria,106471,451 km2 (174 sq mi),Seychelles rupee,,Seychelles
43,44,,Sierra Leone,Freetown,8420641,"71,740 km2 (27,699 sq mi)",leone,,Sierra Leone
44,45,,Somalia,Mogadishu,17065581,"637,657 km2 (246,201 sq mi)",Somali shilling,,Somalia
45,46,,South Africa,Cape Town,59392255,"1,221,037 km2 (471,445 sq mi)",rand,,South Africa
46,47,,South Sudan,Juba,10748272,"644,329 km2 (248,777 sq mi)",South Sudanese pound,,South Sudan
47,48,,Sudan,Khartoum,45657202,"1,861,484 km2 (718,723 sq mi)",Sudanese pound,,Sudan
48,49,,Tanzania,Dar es Salaam,63588334,"945,203 km2 (364,945 sq mi)",Tanzanian shilling,,Tanzania
