,Unnamed: 0,Flag,English Names [4][10][11][12],Capital [12][13][14],Population 2021 [7][8],Area[a][b] [9],Map,Country
0,1,,Afghanistan,Kabul,40099462,"652,230 km2 (251,827 sq mi)",,Afghanistan
1,2,,Armenia,Yerevan,2790974,"29,743 km2 (11,484 sq mi)",,Armenia
2,3,,Azerbaijan[a][b],Baku,10312992,"86,600 km2 (33,436 sq mi)",,Azerbaijan
3,4,,Bahrain,Manama,1463265,760 km2 (293 sq mi),,Bahrain
4,5,,Bangladesh,Dhaka,169356251,"147,570 km2 (56,977 sq mi)",,Bangladesh
5,6,,Bhutan,Thimphu,777486,"38,394 km2 (14,824 sq mi)",,Bhutan
6,7,,Brunei,Bandar Seri Begawan,460356,"5,765 km2 (2,226 sq mi)",,Brunei
7,8,,Cambodia,Phnom Penh,16589023,"181,035 km2 (69,898 sq mi)",,Cambodia
8,9,,China[b],Beijing,1425893465,"9,596,961 km2 (3,705,407 sq mi)",,China
9,10,,India,New Delhi,1407563842,"3,287,263 km2 (1,269,219 sq mi)",,India
10,11,,Indonesia[a],Jakarta,273753191,"1,904,569 km2 (735,358 sq mi)",,Indonesia
11,12,,Iran,Tehran,87923432,"1,648,195 km2 (636,372 sq mi)",,Iran
12,13,,Iraq,Baghdad,43533592,"438,317 km2 (169,235 sq mi)",,Iraq
13,14,,Israel,Jerusalem,8900059,"20,770 km2 (8,019 sq mi)",,Israel
14,15,,Japan,Tokyo,124612530,"377,915 km2 (145,914 sq mi)",,Japan
15,16,,Jordan,Amman,11148278,"89,342 km2 (34,495 sq mi)",,Jordan
16,17,,Kazakhstan[a],Astana,19196465,"2,724,900 km2 (1,052,090 sq mi)",,Kazakhstan
17,18,,North Korea,Pyongyang,25971909,"120,538 km2 (46,540 sq mi)",,North Korea
18,19,,South Korea,Seoul,51830139,"99,720 km2 (38,502 sq mi)",,South Korea
19,20,,Kuwait,Kuwait City,4250114,"17,818 km2 (6,880 sq mi)",,Kuwait
20,21,,Kyrgyzstan,Bishkek,6527743,"199,951 km2 (77,202 sq mi)",,Kyrgyzstan
21,22,,Laos,Vientiane,7425057,"236,800 km2 (91,429 sq mi)",,Laos
22,23,,Lebanon,Beirut,5592631,"10,452 km2 (4,036 sq mi)",,Lebanon
23,24,,Malaysia,Kuala Lumpur[e],33573874,"329,847 km2 (127,355 sq mi)",,Malaysia
24,25,,Maldives,Male,521457,298 km2 (115 sq mi),,Maldives
25,26,,Mongolia,Ulaanbaatar,3347782,"1,564,116 km2 (603,909 sq mi)",,Mongolia
26,27,,Myanmar,Nay Pyi Taw,53798084,"676,578 km2 (261,228 sq mi)",,Myanmar
27,28,,Nepal,Kathmandu,30034989,"147,516 km2 (56,956 sq mi)",,Nepal
28,29,,Oman,Muscat,4520471,"309,500 km2 (119,499 sq mi)",,Oman
29,30,,Pakistan,Islamabad,231402117,"881,913 km2 (340,509 sq mi)",,Pakistan
30,31,,Philippines,Manila,113880328,"343,448 km2 (132,606 sq mi)",,Philippines
31,32,,Qatar,Doha,2688235,"11,586 km2 (4,473 sq mi)",,Qatar
32,33,,Saudi Arabia,Riyadh,35950396,"2,149,690 km2 (830,000 sq mi)",,Saudi Arabia
33,34,,Singapore,Singapore),5941060,697 km2 (269 sq mi),,Singapore
34,35,,Sri Lanka,Colombo,21773441,"65,610 km2 (25,332 sq mi)",,Sri Lanka
35,36,,Syria,Damascus,21324367,"185,180 km2 (71,498 sq mi)",,Syria
36,37,,Tajikistan,Dushanbe,9750064,"143,100 km2 (55,251 sq mi)",,Tajikistan
37,38,,Taiwan,Taipei[12][13],23859912,"35,980 km2 (13,892 sq mi)[15]",,Taiwan
38,39,,Thailand,Bangkok,71601103,"513,120 km2 (198,117 sq mi)",,Thailand
39,40,,Timor-Leste[a],Dili,1320942,"14,874 km2 (5,743 sq mi)",,Timor-Leste
40,41,,Turkey[a],Ankara,84775404,"783,562 km2 (302,535 sq mi)",,Turkey
41,42,,Turkmenistan,Ashgabat,6341855,"488,100 km2 (188,456 sq mi)",,Turkmenistan
42,43,,United Arab Emirates,Abu Dhabi,9365145,"83,600 km2 (32,278 sq mi)",,United Arab Emirates
43,44,,Uzbekistan,Tashkent,34081449,"447,400 km2 (172,742 sq mi)",,Uzbekistan
44,45,,Vietnam,Hanoi,97468029,"332,698 km2 (128,455 sq mi)",,Vietnam
45,46,,Yemen,Sana'a[f],32981641,"527,968 km2 (203,850 sq mi)",,Yemen
