,Unnamed: 0,Flag,English Names [4][12][19][20],Capital [12][14][21],Population 2021 [7][8],Area[a][b] [9],Currency [12],Map,Country
0,1,,Antigua and Barbuda,St. John's,93219,442.6 km2 (171 sq mi),East Caribbean dollar,,Antigua and Barbuda
1,2,,The Bahamas,Nassau,407906,"13,940 km2 (5,382 sq mi)",Bahamian dollar,,The Bahamas
2,3,,Barbados[n 5],Bridgetown,281200,431 km2 (166 sq mi),Barbadian dollar,,Barbados
3,4,,Belize[n 5][n 6],Belmopan,400031,"22,966 km2 (8,867 sq mi)",Belize dollar,,Belize
4,5,,Canada[n 7],Ottawa,38155012,"9,984,670 km2 (3,855,103 sq mi)",Canadian dollar,,Canada
5,6,,Costa Rica[n 6],San José,5153957,"51,100 km2 (19,730 sq mi)",Costa Rican colón,,Costa Rica
6,7,,Cuba,Havana,11256372,"110,860 km2 (42,803 sq mi)",Cuban peso Cuban convertible peso,,Cuba
7,8,,Dominica[n 5],Roseau,72412,754 km2 (291 sq mi),East Caribbean dollar,,Dominica
8,9,,Dominican Republic,Santo Domingo,11117873,"48,730 km2 (18,815 sq mi)",Dominican peso,,Dominican Republic
9,10,,El Salvador[n 6],San Salvador,6314167,"21,040 km2 (8,124 sq mi)",United States dollar,,El Salvador
10,11,,Grenada[n 5],St. George's,124610,344 km2 (133 sq mi),East Caribbean dollar,,Grenada
11,12,,Guatemala[n 6],Guatemala City,17608483,"108,890 km2 (42,043 sq mi)",Guatemalan quetzal,,Guatemala
12,13,,Haiti[n 5],Port-au-Prince,11447569,"27,750 km2 (10,714 sq mi)",Haitian gourde,,Haiti
13,14,,Honduras[n 6],Tegucigalpa,10278345,"112,090 km2 (43,278 sq mi)",Honduran lempira,,Honduras
14,15,,Jamaica[n 5],Kingston,2827695,"10,991 km2 (4,244 sq mi)",Jamaican dollar,,Jamaica
15,16,,Mexico[n 7],Mexico City,126705138,"1,972,550 km2 (761,606 sq mi)",Mexican peso,,Mexico
16,17,,Nicaragua[n 6],Managua,6850540,"129,494 km2 (49,998 sq mi)",Nicaraguan córdoba,,Nicaragua
17,18,,Panama[n 6],Panama City,4351267,"78,200 km2 (30,193 sq mi)",Panamanian balboa United States dollar,,Panama
18,19,,Saint Kitts and Nevis,Basseterre,47606,261 km2 (101 sq mi),East Caribbean dollar,,Saint Kitts and Nevis
19,20,,Saint Lucia[n 5],Castries,179651,616 km2 (238 sq mi),East Caribbean dollar,,Saint Lucia
20,21,,Saint Vincent and the Grenadines,Kingstown,104332,389 km2 (150 sq mi),East Caribbean dollar,,Saint Vincent and the Grenadines
21,22,,Trinidad and Tobago,Port of Spain,1422000,"5,130 km²",Trinidadian dollar,,Trinidad and Tobago
22,23,,United States[n 7],Washington,336997624,"9,826,630 km2 (3,794,083 sq mi)",United States dollar,,United States
